Issue type,Issue name,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Needs Review Status,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/our-offering,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042398810,2026-05-15 10:09:06 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-[11px].sm:text-xs.text-red-800,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/our-offering,SC 1.4.3,"<p class=""text-[11px] sm:text-xs text-red-800""><strong>Important Notice:</strong> Providing a false declaration while accessing this website will make the person solely responsible for any legal and financial consequences arising from the use of information contained herein.</p>",.sm\:text-xs,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23text-%5B11px%5D.sm%3Atext-xs.text-red-800&activeBehaviorValue=&activeIssueId=1042398811,2026-05-15 10:09:06 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/our-offering,SC 1.4.3,"<span id=""residency-non-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-non-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042398812,2026-05-15 10:09:06 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/our-offering,SC 1.4.3,"<span id=""residency-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042398813,2026-05-15 10:09:06 UTC,visible
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/privacy-policy,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042399054,2026-05-15 10:09:09 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-[11px].sm:text-xs.text-red-800,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/privacy-policy,SC 1.4.3,"<p class=""text-[11px] sm:text-xs text-red-800""><strong>Important Notice:</strong> Providing a false declaration while accessing this website will make the person solely responsible for any legal and financial consequences arising from the use of information contained herein.</p>",.sm\:text-xs,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23text-%5B11px%5D.sm%3Atext-xs.text-red-800&activeBehaviorValue=&activeIssueId=1042399055,2026-05-15 10:09:09 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/privacy-policy,SC 1.4.3,"<span id=""residency-non-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-non-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399056,2026-05-15 10:09:09 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/privacy-policy,SC 1.4.3,"<span id=""residency-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399057,2026-05-15 10:09:09 UTC,visible
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/about/our-advisors,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042399058,2026-05-15 10:09:11 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-[11px].sm:text-xs.text-red-800,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-advisors,SC 1.4.3,"<p class=""text-[11px] sm:text-xs text-red-800""><strong>Important Notice:</strong> Providing a false declaration while accessing this website will make the person solely responsible for any legal and financial consequences arising from the use of information contained herein.</p>",.sm\:text-xs,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23text-%5B11px%5D.sm%3Atext-xs.text-red-800&activeBehaviorValue=&activeIssueId=1042399059,2026-05-15 10:09:11 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-advisors,SC 1.4.3,"<span id=""residency-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399060,2026-05-15 10:09:11 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-advisors,SC 1.4.3,"<span id=""residency-non-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-non-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399061,2026-05-15 10:09:11 UTC,visible
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/about/our-team,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042399253,2026-05-15 10:09:16 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-[11px].sm:text-xs.text-red-800,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-team,SC 1.4.3,"<p class=""text-[11px] sm:text-xs text-red-800""><strong>Important Notice:</strong> Providing a false declaration while accessing this website will make the person solely responsible for any legal and financial consequences arising from the use of information contained herein.</p>",.sm\:text-xs,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=p%23text-%5B11px%5D.sm%3Atext-xs.text-red-800&activeBehaviorValue=&activeIssueId=1042399254,2026-05-15 10:09:16 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-team,SC 1.4.3,"<span id=""residency-non-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-non-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399255,2026-05-15 10:09:16 UTC,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,span#text-sm.md:text-base.text-primary/80.group-hover:text-primary,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://trivantagecapital.vercel.app/about/our-team,SC 1.4.3,"<span id=""residency-us-label"" class=""text-sm md:text-base text-primary/80 group-hover:text-primary"">",#residency-us-label,True,Pending Review,False,"Fix any of the following:
  Element's background color could not be determined because it partially overlaps other elements",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66248&activeComponentId=span%23text-sm.md%3Atext-base.text-primary%2F80.group-hover%3Atext-primary&activeBehaviorValue=&activeIssueId=1042399256,2026-05-15 10:09:16 UTC,visible
aria-valid-attr-value,ARIA attributes must conform to valid values,critical,button#text-primary/80.hover:text-primary.text-[13px].font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5,,Ensure all ARIA attributes have valid values.,https://trivantagecapital.vercel.app/about/harsh,SC 4.1.2,"<button type=""button"" aria-expanded=""false"" aria-haspopup=""true"" aria-controls=""about-menu"" class=""text-primary/80 hover:text-primary text-[13px] font-semibold transition-colors uppercase tracking-widest flex items-center gap-1.5"">",.gap-1\.5,True,Pending Review,False,"Fix all of the following:
  Unable to determine if aria-controls referenced ID exists on the page while using aria-haspopup: aria-controls=""about-menu""",https://accessibility.browserstack.com/site-scanner/projects/trivantagecapital.vercel.app-2/builds?thBuildId=39ufvhlveooawyiucismydbeuqrgh7a27zqo1gt6&recurring=true&tunnel_vision=false&id=trivantagecapital.vercel.app-2&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=66239&activeComponentId=button%23text-primary%2F80.hover%3Atext-primary.text-%5B13px%5D.font-semibold.transition-colors.uppercase.tracking-widest.flex.items-center.gap-1.5&activeBehaviorValue=&activeIssueId=1042399411,2026-05-15 10:09:18 UTC,visible
